,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1287,"Amsterdam, North Holland, Netherlands",within a few hours,100,80,t,Oud-West,1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",t,t,De Baarsjes - Oud-West,52.36998,4.87264,Entire rental unit,Entire home/apt,4,1 bath,2.0,3.0,"[""Extra pillows and blankets"", ""Hair dryer"", ""Stove"", ""Washer"", ""Dryer"", ""Iron"", ""Dishes and silverware"", ""Hangers"", ""Cooking basics"", ""TV with standard cable"", ""Refrigerator"", ""Wifi"", ""Essentials"", ""First aid kit"", ""Coffee maker"", ""Shampoo"", ""Kitchen"", ""Hot water"", ""Smoke alarm"", ""Backyard"", ""High chair"", ""Bed linens"", ""Microwave"", ""Carbon monoxide alarm"", ""Children\u2019s books and toys"", ""Cable TV"", ""Bathtub"", ""Host greets you"", ""Oven"", ""Dishwasher"", ""Heating"", ""Patio or balcony""]",200.0,3,15,3.0,3.0,15.0,15.0,3.0,15.0,t,4,4,4,4,34,3,0,2019-07-21,4.85,5.0,4.94,4.82,4.97,4.85,4.48,f,1,1,0,0,0.71
1288,"Amsterdam, North Holland, Netherlands",within a day,100,60,f,Oud-West,1,1,"['email', 'phone', 'reviews']",t,f,De Baarsjes - Oud-West,52.36423,4.86834,Entire rental unit,Entire home/apt,2,1.5 baths,1.0,2.0,"[""Hangers"", ""Hair dryer"", ""Coffee maker"", ""Shampoo"", ""Kitchen"", ""TV"", ""Heating"", ""Smoke alarm"", ""Long term stays allowed"", ""Washer"", ""Wifi"", ""Dishes and silverware"", ""Iron"", ""Essentials""]",99.0,4,1125,4.0,4.0,1125.0,1125.0,4.0,1125.0,t,11,11,11,11,37,1,0,2018-09-22,4.95,4.97,4.83,4.89,4.97,4.91,4.74,f,1,1,0,0,0.72
1289,"Amsterdam, North Holland, Netherlands",within an hour,100,98,t,De Pijp,2,2,"['email', 'phone', 'google', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,De Pijp - Rivierenbuurt,52.35377,4.90116,Entire rental unit,Entire home/apt,4,1.5 baths,1.0,3.0,"[""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Hair dryer"", ""Clothing storage: wardrobe and closet"", ""Washer"", ""Ethernet connection"", ""Dryer"", ""Iron"", ""Dishes and silverware"", ""Hangers"", ""Dining table"", ""TV with standard cable"", ""Long term stays allowed"", ""Refrigerator"", ""Fire extinguisher"", ""Wifi"", ""Portable fans"", ""Essentials"", ""Crib"", ""Coffee maker"", ""Shampoo"", ""Shower gel"", ""Private entrance"", ""Hot water"", ""Smoke alarm"", ""Bed linens"", ""Microwave"", ""Cable TV"", ""Freezer"", ""Paid parking off premises"", ""Bathtub"", ""Host greets you"", ""Toaster"", ""Dishwasher"", ""Dedicated workspace"", ""Heating"", ""Patio or balcony"", ""Wine glasses""]",157.0,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,20,45,73,326,56,15,1,2021-09-07,4.96,4.95,4.96,4.98,5.0,4.95,4.76,f,2,2,0,0,1.66
1290,"Amsterdam, North Holland, The Netherlands",within a day,100,38,f,unknown,1,1,"['email', 'phone', 'reviews']",t,f,Centrum-West,52.38308,4.88416,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,"[""Hair dryer"", ""Stove"", ""Dishes and silverware"", ""Hangers"", ""Cooking basics"", ""Free street parking"", ""TV with standard cable"", ""Refrigerator"", ""Wifi"", ""Essentials"", ""First aid kit"", ""Coffee maker"", ""Shampoo"", ""Kitchen"", ""Smoke alarm"", ""Microwave"", ""Carbon monoxide alarm"", ""Cable TV"", ""Private patio or balcony"", ""Oven"", ""Heating""]",136.0,3,4,3.0,3.0,4.0,4.0,3.0,4.0,t,2,3,3,20,72,2,1,2021-11-08,4.92,4.92,4.97,4.97,4.99,4.86,4.89,f,1,1,0,0,0.82
1291,"Amsterdam, Noord-Holland, The Netherlands",unknown,0,0,f,Buiksloterham,0,0,"['phone', 'facebook', 'reviews']",t,t,Oud-Noord,52.39847,4.90785,Entire townhouse,Entire home/apt,4,1 bath,2.0,2.0,"[""Free parking on premises"", ""Hair dryer"", ""Stove"", ""Washer"", ""Dishes and silverware"", ""Iron"", ""Hangers"", ""Cooking basics"", ""Long term stays allowed"", ""Refrigerator"", ""Fire extinguisher"", ""Wifi"", ""Essentials"", ""First aid kit"", ""Crib"", ""Shampoo"", ""Kitchen"", ""Hot water"", ""Smoke alarm"", ""Backyard"", ""High chair"", ""Bed linens"", ""Microwave"", ""Children\u2019s books and toys"", ""Baby bath"", ""Paid parking off premises"", ""Host greets you"", ""Oven"", ""Dishwasher"", ""Dedicated workspace"", ""Heating"", ""Patio or balcony"", ""Changing table""]",160.0,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,0,0,0,0,7,0,0,2017-07-21,5.0,4.86,5.0,5.0,5.0,4.14,4.86,f,2,2,0,0,0.17
1292,"Amsterdam, North Holland, Netherlands",within an hour,100,100,f,Oost,2,2,"['email', 'phone', 'reviews', 'jumio']",t,t,IJburg - Zeeburgereiland,52.35155,4.9929,Entire villa,Entire home/apt,6,4 baths,4.0,4.0,"[""Outdoor dining area"", ""Board games"", ""Fireplace guards"", ""Free parking on premises"", ""Hot water kettle"", ""Hair dryer"", ""Stove"", ""Waterfront"", ""Washer"", ""Dryer"", ""Iron"", ""Dishes and silverware"", ""Hangers"", ""Baking sheet"", ""Dining table"", ""Cooking basics"", ""Beachfront"", ""TV with standard cable"", ""Long term stays allowed"", ""Babysitter recommendations"", ""Refrigerator"", ""Fire extinguisher"", ""Wifi"", ""Portable fans"", ""Rice maker"", ""Outdoor furniture"", ""Essentials"", ""First aid kit"", ""Coffee maker"", ""Indoor fireplace"", ""Shampoo"", ""BBQ grill"", ""Kitchen"", ""Laundromat nearby"", ""Hot water"", ""Smoke alarm"", ""Private entrance"", ""Boat slip"", ""Private garden or backyard"", ""Bed linens"", ""Microwave"", ""Clothing storage"", ""Cable TV"", ""Freezer"", ""Paid parking off premises"", ""Bathtub"", ""Lake access"", ""Toaster"", ""Private patio or balcony"", ""Oven"", ""Dishwasher"", ""Dedicated workspace"", ""Heating"", ""Lockbox"", ""Wine glasses""]",448.0,5,1125,5.0,5.0,1125.0,1125.0,5.0,1125.0,t,11,13,20,53,15,1,0,2020-02-22,4.87,4.93,4.87,4.93,5.0,4.8,4.8,t,1,1,0,0,0.28
1293,"Amsterdam, North Holland, Netherlands",within an hour,100,100,t,Jordaan,1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,Centrum-West,52.37468,4.87818,Private room in rental unit,Private room,4,2 baths,2.0,4.0,"[""Hair dryer"", ""Waterfront"", ""Dishes and silverware"", ""Iron"", ""Hangers"", ""Single level home"", ""TV with standard cable"", ""Long term stays allowed"", ""Refrigerator"", ""Fire extinguisher"", ""Wifi"", ""Essentials"", ""First aid kit"", ""Coffee maker"", ""Shampoo"", ""Hot water"", ""Smoke alarm"", ""EV charger"", ""Bed linens"", ""Carbon monoxide alarm"", ""Cable TV"", ""Paid parking off premises"", ""Dedicated workspace"", ""Heating"", ""Lockbox""]",224.0,2,1124,1.0,3.0,1125.0,1125.0,3.0,1125.0,t,16,39,62,258,119,29,6,2021-11-10,4.77,4.74,4.71,4.89,4.89,4.93,4.54,t,1,0,1,0,3.05
1294,"Amsterdam, Noord-Holland, Netherlands",within an hour,100,97,t,unknown,0,0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'work_email']",t,t,Centrum-West,52.38169,4.89023,Entire rental unit,Entire home/apt,4,2 baths,2.0,2.0,"[""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Hair dryer"", ""Mini fridge"", ""Washer"", ""Dryer"", ""Iron"", ""Dishes and silverware"", ""Hangers"", ""TV with standard cable"", ""Clothing storage: dresser and wardrobe"", ""Cleaning products"", ""Pack \u2019n play/Travel crib"", ""Refrigerator"", ""Long term stays allowed"", ""Fire extinguisher"", ""Wifi"", ""Portable fans"", ""Essentials"", ""Crib"", ""Coffee maker"", ""Shampoo"", ""Shower gel"", ""Laundromat nearby"", ""Hot water"", ""Smoke alarm"", ""High chair"", ""Bed linens"", ""Paid parking on premises"", ""Carbon monoxide alarm"", ""Body soap"", ""Cable TV"", ""Paid parking off premises"", ""Keypad"", ""Conditioner"", ""Freezer"", ""Heating"", ""Wine glasses""]",220.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,13,30,45,98,170,22,4,2021-09-05,4.86,4.85,4.94,4.98,4.97,4.96,4.71,t,1,1,0,0,3.69
1295,"Amsterdam, Noord-Holland, The Netherlands",within a few hours,86,50,f,Oud-West,0,0,"['email', 'phone', 'reviews']",t,t,De Baarsjes - Oud-West,52.36158,4.86101,Boat,Entire home/apt,4,1 bath,2.0,2.0,"[""First aid kit"", ""Cable TV"", ""Coffee maker"", ""Shampoo"", ""Kitchen"", ""Smoke alarm"", ""TV with standard cable"", ""Heating"", ""Long term stays allowed"", ""Dishes and silverware"", ""Washer"", ""Fire extinguisher"", ""Wifi"", ""Carbon monoxide alarm"", ""Dryer"", ""Essentials""]",250.0,3,365,3.0,3.0,365.0,365.0,3.0,365.0,t,0,0,0,219,105,2,0,2019-05-14,4.93,4.96,4.81,4.91,4.98,4.81,4.73,f,1,1,0,0,0.82
1296,"Amsterdam, North Holland, Netherlands",unknown,0,0,f,Indische Buurt,1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t,Oud-Oost,52.36107,4.92479,Entire rental unit,Entire home/apt,4,2 baths,2.0,3.0,"[""First aid kit"", ""Hangers"", ""Paid parking off premises"", ""Kitchen"", ""Private entrance"", ""Hot water"", ""TV"", ""Heating"", ""Smoke alarm"", ""High chair"", ""Dedicated workspace"", ""Washer"", ""Wifi"", ""Iron"", ""Essentials""]",105.0,3,14,3.0,3.0,14.0,14.0,3.0,14.0,f,0,0,0,0,3,0,0,2018-06-11,5.0,5.0,4.67,5.0,5.0,4.67,4.67,f,1,1,0,0,0.06
1297,"Amsterdam, North Holland, The Netherlands",within an hour,100,90,t,unknown,1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t,Centrum-Oost,52.374283,4.901814,Private room in residential home,Private room,4,1 private bath,2.0,2.0,"[""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Waterfront"", ""Pour-over coffee"", ""Mini fridge"", ""Keurig coffee machine"", ""Dishes and silverware"", ""Iron"", ""Hangers"", ""Trash compactor"", ""Dining table"", ""Window guards"", ""Single level home"", ""Cleaning products"", ""Babysitter recommendations"", ""Long term stays allowed"", ""Fire extinguisher"", ""Wifi"", ""Essentials"", ""First aid kit"", ""Clothing storage: closet"", ""Coffee maker"", ""Shower gel"", ""Room-darkening shades"", ""Laundromat nearby"", ""Hot water"", ""Smoke alarm"", ""Lock on bedroom door"", ""Bed linens"", ""Carbon monoxide alarm"", ""Body soap"", ""Bathtub"", ""Host greets you"", ""Toaster"", ""Paid street parking off premises"", ""Heating"", ""Wine glasses""]",127.0,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,14,40,70,150,21,21,5,2021-11-29,4.76,4.67,4.62,5.0,4.9,4.95,4.62,f,1,0,1,0,4.29
1298,"Amsterdam, North Holland, Netherlands",within an hour,97,99,t,unknown,8,8,"['email', 'phone', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,Westerpark,52.3879,4.87553,Room in boutique hotel,Private room,2,1 bath,1.0,1.0,"[""Hangers"", ""Smoke alarm"", ""Long term stays allowed"", ""Dedicated workspace"", ""Heating"", ""Wifi"", ""Elevator"", ""Essentials""]",103.0,1,1125,1.0,3.0,999.0,1125.0,1.0,1047.5,t,30,60,90,353,1,0,0,2020-09-06,3.0,5.0,5.0,3.0,3.0,4.0,3.0,t,9,0,9,0,0.07
1299,"Amsterdam, North Holland, Netherlands",within an hour,100,99,f,De Pijp,8,8,"['email', 'phone']",t,t,De Pijp - Rivierenbuurt,52.35456,4.89645,Room in hotel,Private room,1,1 bath,1.0,1.0,"[""Hangers"", ""Shampoo"", ""TV"", ""Smoke alarm"", ""Long term stays allowed"", ""Dedicated workspace"", ""Heating"", ""Fire extinguisher"", ""Wifi"", ""Game console"", ""Elevator"", ""Essentials""]",68.0,1,1125,1.0,5.0,999.0,999.0,1.2,999.0,t,29,59,89,364,3,1,1,2021-11-15,5.0,5.0,5.0,5.0,5.0,4.33,5.0,t,8,0,8,0,0.18
1300,"Amsterdam, North Holland, Netherlands",within a few hours,100,0,f,unknown,2,2,"['email', 'phone', 'google', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,Bijlmer-Oost,52.32171,4.97212,Private room in townhouse,Private room,2,1 shared bath,1.0,1.9564237415477086,"[""Free parking on premises"", ""Hair dryer"", ""Free street parking"", ""Shampoo"", ""Host greets you"", ""Kitchen"", ""Hot water"", ""TV"", ""Heating"", ""Smoke alarm"", ""Long term stays allowed"", ""EV charger"", ""Washer"", ""Wifi"", ""Carbon monoxide alarm"", ""Dryer"", ""Iron"", ""Essentials""]",59.0,3,31,3.0,3.0,31.0,31.0,3.0,31.0,t,4,34,64,64,50,0,0,2019-11-03,4.44,4.71,4.51,4.71,4.69,4.41,4.33,f,2,0,2,0,0.74
1301,"Amsterdam, North Holland, The Netherlands",within a few hours,100,33,f,Oud-West,1,1,"['email', 'phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,De Baarsjes - Oud-West,52.35954,4.86128,Entire rental unit,Entire home/apt,4,1 bath,3.0,4.0,"[""Extra pillows and blankets"", ""Hair dryer"", ""Stove"", ""Washer"", ""Dryer"", ""Iron"", ""Dishes and silverware"", ""Hangers"", ""Cooking basics"", ""TV with standard cable"", ""Long term stays allowed"", ""Refrigerator"", ""Fire extinguisher"", ""Wifi"", ""Essentials"", ""Coffee maker"", ""Indoor fireplace"", ""Shampoo"", ""Kitchen"", ""Hot water"", ""Smoke alarm"", ""Bed linens"", ""Carbon monoxide alarm"", ""Cable TV"", ""Paid parking off premises"", ""Host greets you"", ""Oven"", ""Dishwasher"", ""Dedicated workspace"", ""Heating""]",400.0,3,28,3.0,3.0,28.0,28.0,3.0,28.0,t,4,34,64,333,9,0,0,2019-08-14,5.0,4.88,5.0,4.88,4.88,4.88,4.75,f,1,1,0,0,0.21
1302,"Amsterdam, Noord-Holland, Netherlands",unknown,0,0,f,unknown,1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",t,t,De Baarsjes - Oud-West,52.36295,4.86213,Entire rental unit,Entire home/apt,2,1 bath,1.577414409810935,1.0,"[""Kitchen"", ""Heating"", ""Long term stays allowed"", ""Dedicated workspace"", ""Washer"", ""Essentials""]",120.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,6,10,10,10,38,7,1,2019-03-17,4.58,4.53,3.97,4.67,4.75,4.67,4.22,t,1,1,0,0,0.79
1303,"Amsterdam, North Holland, The Netherlands",unknown,0,0,f,unknown,1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t,Oud-Oost,52.35503,4.92613,Entire rental unit,Entire home/apt,4,1.5 baths,1.0,2.0,"[""Hair dryer"", ""Stove"", ""Washer"", ""Dishes and silverware"", ""Dryer"", ""Iron"", ""Hangers"", ""Cooking basics"", ""Long term stays allowed"", ""Refrigerator"", ""Wifi"", ""Essentials"", ""First aid kit"", ""Coffee maker"", ""BBQ grill"", ""Kitchen"", ""Hot water"", ""TV"", ""Smoke alarm"", ""Backyard"", ""Host greets you"", ""Oven"", ""Dishwasher"", ""Dedicated workspace"", ""Heating""]",150.0,4,1125,4.0,4.0,1125.0,1125.0,4.0,1125.0,t,0,0,0,0,20,2,0,2020-09-07,4.85,4.9,4.8,4.95,4.95,4.75,4.75,f,1,1,0,0,0.46
1304,"Amsterdam, North Holland, Netherlands",within a few hours,100,55,f,unknown,2,2,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,Zuid,52.35128,4.85429,Entire rental unit,Entire home/apt,3,1 bath,1.0,3.0,"[""Outdoor dining area"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Hair dryer"", ""Washer"", ""Dishes and silverware"", ""Iron"", ""Cooking basics"", ""Single level home"", ""TV with standard cable"", ""Long term stays allowed"", ""Refrigerator"", ""Wifi"", ""Essentials"", ""Coffee maker"", ""Shampoo"", ""Shower gel"", ""Kitchen"", ""Laundromat nearby"", ""Hot water"", ""Smoke alarm"", ""Bed linens"", ""Microwave"", ""Body soap"", ""Cable TV"", ""Private patio or balcony"", ""Oven"", ""Dishwasher"", ""Dedicated workspace"", ""Heating"", ""Wine glasses""]",180.0,8,365,8.0,8.0,365.0,365.0,8.0,365.0,t,29,59,89,89,26,1,0,2019-10-21,4.88,4.92,4.83,4.96,4.88,4.83,4.61,f,2,2,0,0,0.46
1305,"Amsterdam, North Holland, The Netherlands",within a few hours,100,72,t,Osdorp,5,5,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,f,De Aker - Nieuw Sloten,52.34838,4.78878,Private room in townhouse,Private room,2,1 shared bath,1.0,1.0,"[""Extra pillows and blankets"", ""Free parking on premises"", ""Hair dryer"", ""Lockbox"", ""Dishes and silverware"", ""Hangers"", ""Free street parking"", ""TV with standard cable"", ""Long term stays allowed"", ""Refrigerator"", ""Wifi"", ""Essentials"", ""First aid kit"", ""Coffee maker"", ""Shampoo"", ""Hot water"", ""Smoke alarm"", ""Lock on bedroom door"", ""Bed linens"", ""Microwave"", ""Carbon monoxide alarm"", ""Cable TV"", ""Security cameras on property"", ""Heating"", ""Patio or balcony""]",64.0,3,365,3.0,3.0,365.0,365.0,3.0,365.0,t,27,57,87,362,165,8,2,2020-09-29,4.84,4.92,4.87,4.98,4.99,4.58,4.78,f,5,0,5,0,2.01
1306,"Amsterdam, North Holland, Netherlands",unknown,0,0,f,unknown,1,1,"['email', 'phone', 'reviews']",t,t,Oud-Oost,52.36177,4.92791,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,"[""Extra pillows and blankets"", ""Hair dryer"", ""Stove"", ""Washer"", ""Dishes and silverware"", ""Dryer"", ""Iron"", ""Hangers"", ""Cooking basics"", ""TV with standard cable"", ""Refrigerator"", ""Wifi"", ""Essentials"", ""Coffee maker"", ""Shampoo"", ""Kitchen"", ""Hot water"", ""Smoke alarm"", ""Bed linens"", ""Cable TV"", ""Oven"", ""Dishwasher"", ""Dedicated workspace"", ""Heating"", ""Patio or balcony""]",250.0,2,14,2.0,2.0,14.0,14.0,2.0,14.0,t,0,0,0,0,21,1,0,2019-08-18,4.95,4.9,4.85,4.95,4.95,4.75,4.75,f,1,1,0,0,0.55
1307,"Amsterdam, North Holland, Netherlands",within a day,100,0,t,unknown,2,2,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,f,De Baarsjes - Oud-West,52.37115,4.86696,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,"[""Air conditioning"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Dishes and silverware"", ""Hangers"", ""Long term stays allowed"", ""Refrigerator"", ""Fire extinguisher"", ""Wifi"", ""Essentials"", ""Coffee maker"", ""Shampoo"", ""Private entrance"", ""Hot water"", ""Smoke alarm"", ""Lock on bedroom door"", ""Bed linens"", ""Paid parking off premises"", ""Dedicated workspace"", ""Heating"", ""Patio or balcony""]",110.0,3,30,3.0,3.0,30.0,30.0,3.0,30.0,t,0,4,34,304,272,0,0,2019-11-25,4.79,4.87,4.78,4.94,4.96,4.86,4.66,f,1,0,1,0,3.48
1308,"Amsterdam, North Holland, Netherlands",within an hour,100,100,t,Nieuwmarkt en Lastage,2,2,"['email', 'phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,Centrum-Oost,52.37309,4.90737,Private room in boat,Private room,3,1 private bath,1.577414409810935,3.0,"[""Hair dryer"", ""Waterfront"", ""Dishes and silverware"", ""Hangers"", ""Long term stays allowed"", ""Refrigerator"", ""Fire extinguisher"", ""Wifi"", ""Essentials"", ""First aid kit"", ""Coffee maker"", ""Private entrance"", ""Hot water"", ""Smoke alarm"", ""Backyard"", ""Lock on bedroom door"", ""Bed linens"", ""Carbon monoxide alarm"", ""Paid parking off premises"", ""Heating"", ""Patio or balcony""]",138.0,3,45,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,20,50,76,322,4,2,0,2021-10-12,5.0,4.75,4.75,5.0,5.0,4.75,4.75,t,2,1,1,0,0.13
1309,"Amsterdam, North Holland, Netherlands",within an hour,100,100,f,unknown,0,0,"['email', 'phone', 'reviews']",t,t,De Pijp - Rivierenbuurt,52.35185,4.89663,Entire condominium (condo),Entire home/apt,2,1 bath,1.0,1.0,"[""Outdoor dining area"", ""Hair dryer"", ""Stove"", ""Washer"", ""Dishes and silverware"", ""Iron"", ""Dining table"", ""Cooking basics"", ""Cleaning products"", ""Refrigerator"", ""Outdoor furniture"", ""Wifi"", ""Essentials"", ""Coffee maker"", ""Shampoo"", ""Kitchen"", ""Hot water"", ""TV"", ""Smoke alarm"", ""Bed linens"", ""Carbon monoxide alarm"", ""Central heating"", ""Body soap"", ""Toaster"", ""Private patio or balcony"", ""Oven"", ""Dishwasher"", ""Freezer"", ""Wine glasses""]",149.0,3,14,3.0,3.0,14.0,14.0,3.0,14.0,t,0,6,7,73,1,1,1,2021-12-03,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,1,1,0,0,1.0
1310,"Amsterdam, North Holland, The Netherlands",within an hour,100,0,t,Oud-West,1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,De Baarsjes - Oud-West,52.36791,4.87181,Private room in rental unit,Private room,2,1.5 baths,1.0,1.0,"[""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Hair dryer"", ""Ethernet connection"", ""Iron"", ""Hangers"", ""Wifi"", ""Essentials"", ""Coffee maker"", ""Shampoo"", ""Private entrance"", ""Hot water"", ""Smoke alarm"", ""Backyard"", ""Bed linens"", ""Carbon monoxide alarm"", ""Elevator"", ""Paid parking off premises"", ""Host greets you"", ""Dedicated workspace"", ""Heating""]",100.0,1,21,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,0,0,0,127,221,0,0,2019-12-31,4.9,4.91,4.85,4.97,4.99,4.88,4.7,t,1,0,1,0,3.83
1311,"Amsterdam, Noord-Holland, The Netherlands",unknown,0,0,f,unknown,1,1,"['email', 'phone', 'reviews']",t,f,De Baarsjes - Oud-West,52.36397,4.86027,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,"[""Hair dryer"", ""Stove"", ""Washer"", ""Dryer"", ""Iron"", ""Dishes and silverware"", ""Hangers"", ""Cooking basics"", ""TV with standard cable"", ""Long term stays allowed"", ""Pack \u2019n play/Travel crib"", ""Refrigerator"", ""Wifi"", ""Essentials"", ""First aid kit"", ""Crib"", ""Coffee maker"", ""Shampoo"", ""Kitchen"", ""Hot water"", ""Smoke alarm"", ""High chair"", ""Children\u2019s books and toys"", ""Elevator"", ""Cable TV"", ""Paid parking off premises"", ""Oven"", ""Dishwasher"", ""Dedicated workspace"", ""Heating"", ""Patio or balcony""]",232.0,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,0,0,0,0,6,0,0,2019-08-07,5.0,4.83,4.83,5.0,5.0,4.67,4.67,f,1,1,0,0,0.15
1312,"Amsterdam, North Holland, Netherlands",unknown,0,0,f,Oosterparkbuurt,2,2,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",t,t,Oud-Oost,52.35687,4.91875,Entire rental unit,Entire home/apt,4,1.5 baths,2.0,2.0,"[""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Hair dryer"", ""Stove"", ""Washer"", ""Ethernet connection"", ""Iron"", ""Dishes and silverware"", ""Hangers"", ""Window guards"", ""Cooking basics"", ""Single level home"", ""Long term stays allowed"", ""Refrigerator"", ""Fire extinguisher"", ""Wifi"", ""Essentials"", ""First aid kit"", ""Cleaning before checkout"", ""Coffee maker"", ""Shampoo"", ""Room-darkening shades"", ""Kitchen"", ""Hot water"", ""TV"", ""Smoke alarm"", ""Bed linens"", ""Microwave"", ""Carbon monoxide alarm"", ""Children\u2019s books and toys"", ""Elevator"", ""Paid parking off premises"", ""Bathtub"", ""Host greets you"", ""Oven"", ""Dishwasher"", ""Dedicated workspace"", ""Heating"", ""Patio or balcony""]",110.0,20,35,20.0,20.0,35.0,35.0,20.0,35.0,t,0,0,0,0,12,0,0,2016-11-13,5.0,4.92,4.58,5.0,5.0,4.82,4.91,f,1,1,0,0,0.19
1313,"Amsterdam, North Holland, Netherlands",within an hour,100,75,t,Slotervaart,1,1,"['email', 'phone', 'facebook', 'google', 'reviews']",t,t,Slotervaart,52.34783,4.83652,Entire rental unit,Entire home/apt,4,1.5 baths,2.0,2.0,"[""Hair dryer"", ""Stove"", ""Washer"", ""Dishes and silverware"", ""Dryer"", ""Iron"", ""Hangers"", ""Cooking basics"", ""Single level home"", ""Refrigerator"", ""Wifi"", ""Essentials"", ""Coffee maker"", ""Shampoo"", ""Shower gel"", ""Kitchen"", ""Private entrance"", ""Hot water"", ""Smoke alarm"", ""Bed linens"", ""Elevator"", ""Paid parking off premises"", ""Security cameras on property"", ""Private patio or balcony"", ""Oven"", ""Dishwasher"", ""Dedicated workspace"", ""Heating""]",350.0,3,14,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,0,0,0,0,16,7,2,2019-11-17,4.81,4.81,4.81,5.0,4.94,4.81,4.56,f,1,1,0,0,0.57
